Country,2013,2012,2011,2010,2005,2000,1995,1990,1980,1970,1960,1950
China,22116825,19271808,18418876,18264761,5717619,2069069,1434772,509242,222288,87166,22574,
United States,11066432,10335765,8661535,7743093,11946653,12799857,11985457,9782997,8009841,8283949,7905119,8005859
Japan,9630181,9943077,8398630,9628920,10799659,10140796,10195536,13486796,11042884,5289157,481551,31597
Germany,5718222,5649260,6146948,5905985,5757710,5526615,4667364,4976552,3878553,3842247,2056149,306064
South Korea,4521429,4561766,4657094,4271741,3699350,3114998,2526400,1321630,123135,28819,,
India,3880938,4174713,3927411,3557073,1638674,801360,636000,362655,113917,76409,51136,14688
Brazil,3712380,3402508,3407861,3381728,2530840,1681517,1629008,914466,1165174,416089,133041,
Mexico,3052395,3001814,2681050,2342282,1684238,1935527,935017,820558,490006,192841,49807,
Thailand,2457057,2429142,1457798,1644513,1122712,411721,533200,304843,73347,22055,,
Canada,2379806,2463364,2135121,2068189,2687892,2961636,2407999,1947106,1369607,1159504,397739,387726
Russia,2175311,2233103,1990155,1403244,1354504,1205581,994000,,,,,
Spain,2163338,1979179,2373329,2387900,2752500,3032874,2333787,2053350,1181659,539132,58209,253
France,1740000,1967765,2242928,2229421,3549008,3348361,3474705,3768993,3378433,2750086,1369210,357512
United Kingdom,1597433,1576945,1463999,1393463,1803109,1813894,1765000,1565957,1312914,2098498,1810700,783672
Indonesia,1206368,1052895,838388,702508,500710,379300,292710,,103000,,,
Czech Republic,1132931,1178995,1199845,1076384,602237,455492,216000,242000,233112,169920,75000,31000
Turkey,1125534,1072978,1189131,1094557,879452,430947,282000,209150,50881,25000,,
Slovakia,975000,926555,639763,561933,218349,181783,22600,,,,,
Argentina,791007,764495,828771,716540,319755,339632,286000,99639,281793,219599,89000,
Iran,743680,1000089,1649311,1599454,1077190,277985,,44665,161000,35000,,
Italy,658207,671768,790348,838186,1038352,1738315,1667270,2120850,1610287,1854252,644633,127847
Malaysia,596170,572150,533695,567715,563408,282830,164000,191580,104227,,,
Poland,583258,654756,838133,869474,613200,504972,381000,347975,417834,113087,37000,1000
South Africa,545913,539424,532545,472049,525227,345297,,334779,404766,297573,,
Belgium,503504,538848,595084,555302,926515,1033294,468000,1248290,923426,296000,1000,
Romania,410997,337765,335232,350912,194802,78165,93000,94000,124000,59000,12000,
Taiwan,338720,339038,343296,303456,446345,361800,406000,382000,,,,
Hungary,222400,217840,202800,211461,152015,137398,53000,,,,3000,
Australia,215926,209730,224193,243495,394713,347122,331000,284000,361000,475000,204000,58000
Austria,171220,143060,152505,104814,253279,141026,68000,20000,14000,7000,13000,
Morocco,167452,108743,59477,42066,33992,31314,,,,,,
Sweden,161080,162814,188969,217084,339229,301343,490000,344000,317000,311000,129000,28000
Uzbekistan,154760,164180,179560,156880,94437,32273,,,,,,
Portugal,154016,163561,192242,158723,226834,245784,57000,26000,91000,,,
Pakistan,142145,165700,162194,152970,153393,31500,,,,,,
Slovenia,93734,130949,174119,205711,187247,98953,,,,,,
Colombia,74900,70686,32466,41714,109333,23979,,34850,43000,,,
Venezuela,71753,104083,102409,104357,135425,21190,96400,,153000,,,
Philippines ,52260,55360,53921,65625,64492,38877,107000,,,,,
Ukraine,50449,76281,104654,83133,215759,31255,,,206700,115700,7500,18300
Vietnam,40920,40470,31181,42286,31600,6862,,,,,,
Egypt,39050,56480,81731,116683,123425,59765,,,,,,
Kazakhstan,37471,19186,8195,3176,,,,,,,,
Netherlands,29183,57462,73151,94132,102204,98823,132000,111000,97000,79000,19000,
Belarus,25600,25425,24343,15249,26995,19324,,,40100,29800,18700,2400
Ecuador,24322,24322,24322,22335,32254,41047,,,,,,
Serbia,10905,11023,11023,18033,14179,12740,,,,,,
Finland,3300,2900,2540,6665,21644,38926,,,,,,
Kenya,3080,3080,2945,0,405,288,,,,,,
Tunisia,1860,1860,1860,0,,,,,,,,
Zimbabwe,829,829,829,0,960,792,,,,,,
Chile,0,0,0,4700,6660,5245,,,,,,
Nigeria,0,0,0,0,2937,7834,,,,,,
Bulgaria,,2200,0,0,0,0,2200,,21000,12000,,
Botswana,0,0,0,0,1566,,,,,,,
Uruguay,0,0,0,0,0,14404,,,,,,
New Zealand,,0,0,0,0,0,,,90000,55178,32409,9731
Republic of Ireland,,,,,,,,,47000,,,
North Korea,,,,,,,,,,,,3000
Bangladesh,,,,0,0,0,,,,,,
Soviet Union,,,,,,,,2039600,2199200,916118,523591,362985
Yugoslavia,,,,,,,,239000,278000,124000,16000,1000
Czechoslovakia,,,,,,,,242000,233112,169920,75000,31000
East Germany,,,,,,,,,216585,153378,77350,8243
